words level
assombrir B2
assourdir B2
assourdissant B2
assumer B2
assurance A1
"assurance de base" B2
assurances B2
"assurances complementaires" B2
"assure social" B2
assurer B1
asthmatique B1
asthme B2
astre B2
astronomie B2
astucieux B2
asymetrique B2
atelier B1
athee B1
athlete B2
athletisme B2
atmosphere B2
atome B2
atomique B2
attache B2
attacher A2
"attacher la ceinture" B2
attaquer B2
atteindre B2
attendre A1.1
attendrissant B2
attendrissement B2
attendu B2
attente B2
attention A2
attestation A2
"attestation de soins" B2
attirer B2
attitude B1
attraction B2
attraper B1
"au bord" B1
"au bout de " A2
"au bout du compte" B2
"au cas ou" B2
"au centre" B1
"au coin" B1
"au commencement" B2
"au debut" B1
"au fond" B2
"au fond de" B1
"au gratin" B2
"au meme moment" B1
"au milieu" A2
"au moment ou" B2
"au passe" B1
"au ralenti" B2
"au sirop" B2
aube B2
auberge B1
aucun B1
audace B2
audacieux B2
au-dessous A2
au-dessus A2
audibilite B2
audible B2
audience B2
audiovisuel B1
auditeur B2
audition B2
auditoire B2
augmentation B1
"augmentation de salaire" B2
augmenter B1
aujourd'hui A1.1
auparavant B2
auscultation B2
ausculter B2
aussi A1
autant B2
auteur A2
auto A1
autobus A1.1
autocar B2
autocuiseur B2
auto-ecole B2
automnal B2
automne A1.1
automobile B2
autonome B1
autoradio B2
autorise A2
autoriser A2
autoritaire B1
autorite B2
autoroute A1
autour B1
autre A2
"autre part" B2
autrefois B2
"aux alentours" B2
"aux environs de" B2
"aux ufs" B2
aval B2
avaler A1
avance B1
avance A2
avancee B2
avancer A2
avant A1.1
"avant de" B2
"avant que" B2
avantage B1
"avantages en nature" B2
avant-bras B2
avant-hier B1
avant-veille B2
avare B2
avarice B2
avec A1.1
"avec accuse de reception" B2
avenir A1
"avenir professionnel" B1
avenue A1.1
averse B2
aveu B2
aveugle B1
aveugler B2
avion A1.1
aviron B2
avis B1
avocat B1
avoine B2
avoir A1.1
"avoir beau" B2
"avoir bon/mauvais gout" A2
"avoir de la fievre" B2
"avoir de l'idee" B2
"avoir des notions" B2
"avoir du gout" B1
"avoir du succes" B1
"avoir la forme de" A2
"avoir la priorite" B2
"avoir lieu " B1
"avoir mal" A1
"avoir pour consequence" B2
"avoir une odeur" B1
avouer B1
avril A1.1
axe B2
azote B2
babord B2
baby-sitter A1
baccalaureat B1
bachelor B2
bacon B2
bacterie B2
bacterien B2
bafouiller B2
bagage A1
"bagage a main" B1
bagagiste B2
baguette A1.1
baie B2
baignade B1
baigner B2
baignoire B1
bail B2
bain A1.1
baisse B1
baisse B1
baisser A2
balade B1
balader A2
balai A2
balbutier B2
balcon B1
baleine B2
balle A2
ballet B2
ballon A1
"ballon de foot" A1
banal B1
banane A1.1
bananier B2
bancaire B1
bande B1
"bande d'arret d'urgence" B2
bande-annonce B1
banderole B2
banlieue A1
banlieusard B2
banque A1
banquet B2
banquette B2
bar A2
barbe A2
barbecue B2
barbu B1
bariole B2
barman B2
barquette B2
barre B2
"barriere de securite" B2
bas A1.1
bas-cote B2
base B2
basket-ball A1.1
baskets B1
basset B2
bassin B2
bataille B2
"bataille navale" B2
batard B2
bateau A1.1
batiment A1
batterie B1
battre B1
bavard B1
bavardage B1
bavarder B1
beau A1.1
beaucoup A1.1
beau-fils B2
beaujolais B2
beau-pere A1
beaux-parents B1
bebe A1.1
begaiment B2
begayer B2
beige B1
Belge A2
belle-fille B2
belle-mere A1
belote B2
"beneficiaire des soins" B2
beneficier B2
benevolat B2
benevole B1
benin B2
benjamin B2
benzine B2
bequille B2
beret B2
berger B2
berne B2
besoin A2
betail B2
bete A1
betise B2
beton B2
betonne B2
beurre A1.1
beurrer B2
bibliothecaire B1
bibliotheque A1
biceps B2
biche B2
bicyclette A1
bien A1.1
"bien cuit" B2
"bien paye" B2
"bien portant" B2
"bien que" B1
bien-etre B2
bientot A1
biere A1
bilan B2
bile B2
bilingue B1
billard B2
billet A1
bimensuel B2
bio B2
bio- B2
biologie B1
"biologique " B1
biscuit A2
bissectrice B2
bistro B2
bizarre A2
bizarrement B2
bizarrerie B2
blanc A1.1
blanche B2
blanchir B1
ble B1
blesse A2
blesser B1
blessure B1
bleu A1.1
"bloc operatoire" B1
blog B1
blond A1.1
blondes B2
bloquer B2
blouson B2
buf A1
boire A1.1
bois A2
boise B2
boisson A1.1
boite A1
"boite aux lettres" A1
