words;level
ARN;B2
aromate;B2
aromatique;B2
aromatisé;B2
arôme;B2
arrestation;B1
arrêt de bus ;A1
arrêt de travail;B1
arrêt maladie;B1
arrêter;A1.1
arrêter (s');A1
arrière;B1
arrivant;B2
arrivée;A1
arriver;A1.1
arriver à (réussir);B2
arrondissement;A2
art;A2
artère;B2
artériel;B2
arthrose;B2
artichaut;B1
article;A1
articuler;B2
artisanat;B1
artiste;A2
ascendant;B2
ascenseur;A1
ascension;B2
asiatique;A2
Asiatique ;A2
Asie;A2
aspect;B1
aspirateur;A2
aspirine;A1
assaisonnement;B2
assaisonner;B2
assemblée;B1
Assemblée nationale;B2
assembler;B2
asseoir (s');A1
assez;A1.1
assez de;B2
assiette;A1
assiette creuse;B2
assiette du jour;B2
assis;A1
assis (être -);A2
assistance;B2
assister à;B1
associatif;B1
association;B1
associé;B2
associer;B1
assombrir;B2
assourdir;B2
assourdissant;B2
assumer (ses responsabilités);B2
assurance;A1
assurance de base;B2
assurances;B2
assurances complémentaires;B2
assuré social;B2
assurer (s');B1
asthmatique;B1
asthme;B2
astre;B2
astronomie;B2
astucieux;B2
asymétrique;B2
atelier;B1
athée;B1
athlète;B2
athlétisme;B2
atmosphère;B2
atome;B2
atomique;B2
attaché (n);B2
attacher;A2
attacher la ceinture (de sécurité);B2
attaquer;B2
atteindre;B2
attendre;A1.1
attendrissant;B2
attendrissement;B2
attendu;B2
attente;B2
attention (faire - );A2
attestation;A2
attestation de soins;B2
attirer;B2
attitude;B1
attraction;B2
attraper;B1
au bord (de);B1
au bout de ;A2
au bout du compte;B2
au cas où;B2
au centre (de);B1
au coin (de);B1
au commencement;B2
au début (de);B1
au fond;B2
au fond de;B1
au gratin;B2
au même moment;B1
au milieu;A2
au moment où;B2
au passé;B1
au ralenti;B2
au sirop;B2
aube;B2
auberge;B1
aucun;B1
audace;B2
audacieux;B2
au-dessous;A2
au-dessous (de);B1
au-dessus;A2
au-dessus (de);B1
audibilité;B2
audible;B2
audience;B2
audiovisuel;B1
auditeur;B2
audition;B2
auditoire;B2
augmentation;B1
augmentation de salaire;B2
augmenter;B1
aujourd'hui;A1.1
